,lap,name,driverRef,since pit,until pit,position,year,clear lap?,raceId
0,4,Australian Grand Prix,hamilton,3.0,12,5.0,2016,overtaker,948.0
1,5,Australian Grand Prix,ricciardo,4.0,7,8.0,2016,overtaker,948.0
2,5,Australian Grand Prix,bottas,4.0,12,16.0,2016,overtaker,948.0
3,9,Australian Grand Prix,bottas,8.0,8,14.0,2016,overtaker,948.0
4,10,Australian Grand Prix,ricciardo,9.0,2,6.0,2016,overtaker,948.0
5,10,Australian Grand Prix,bottas,9.0,7,13.0,2016,overtaker,948.0
6,10,Australian Grand Prix,grosjean,9.0,8,16.0,2016,overtaker,948.0
7,10,Australian Grand Prix,sainz,1.0,8,19.0,2016,overtaker,948.0
8,10,Australian Grand Prix,sainz,1.0,8,18.0,2016,overtaker,948.0
9,10,Australian Grand Prix,gutierrez,9.0,Unknown,19.0,2016,overtaker,948.0
10,12,Australian Grand Prix,bottas,11.0,5,11.0,2016,overtaker,948.0
11,12,Australian Grand Prix,sainz,3.0,6,13.0,2016,overtaker,948.0
12,13,Australian Grand Prix,massa,1.0,5,12.0,2016,overtaker,948.0
13,14,Australian Grand Prix,ricciardo,1.0,4,8.0,2016,overtaker,948.0
14,14,Australian Grand Prix,ricciardo,1.0,4,7.0,2016,overtaker,948.0
15,14,Australian Grand Prix,verstappen,0.0,4,9.0,2016,overtaker,948.0
16,14,Australian Grand Prix,sainz,5.0,4,10.0,2016,overtaker,948.0
17,15,Australian Grand Prix,verstappen,1.0,3,8.0,2016,overtaker,948.0
18,15,Australian Grand Prix,sainz,6.0,3,9.0,2016,overtaker,948.0
19,15,Australian Grand Prix,massa,3.0,3,11.0,2016,overtaker,948.0
20,16,Australian Grand Prix,vettel,2.0,2,1.0,2016,overtaker,948.0
21,16,Australian Grand Prix,ricciardo,3.0,2,6.0,2016,overtaker,948.0
22,2,Bahrain Grand Prix,kvyat,1.0,14.0,14.0,2016,overtaker,949.0
23,2,Bahrain Grand Prix,nasr,1.0,8.0,18.0,2016,overtaker,949.0
24,2,Bahrain Grand Prix,nasr,1.0,8.0,17.0,2016,overtaker,949.0
25,2,Bahrain Grand Prix,magnussen,1.0,10.0,19.0,2016,overtaker,949.0
26,4,Bahrain Grand Prix,hamilton,3.0,9.0,6.0,2016,overtaker,949.0
27,6,Bahrain Grand Prix,raikkonen,5.0,6.0,4.0,2016,overtaker,949.0
28,7,Bahrain Grand Prix,raikkonen,6.0,5.0,3.0,2016,overtaker,949.0
29,8,Bahrain Grand Prix,hamilton,7.0,5.0,3.0,2016,overtaker,949.0
30,8,Bahrain Grand Prix,ricciardo,1.0,16.0,15.0,2016,overtaker,949.0
31,8,Bahrain Grand Prix,ricciardo,1.0,16.0,14.0,2016,overtaker,949.0
32,8,Bahrain Grand Prix,perez,5.0,6.0,17.0,2016,overtaker,949.0
33,10,Bahrain Grand Prix,massa,2.0,19.0,9.0,2016,overtaker,949.0
34,10,Bahrain Grand Prix,massa,2.0,19.0,8.0,2016,overtaker,949.0
35,10,Bahrain Grand Prix,ricciardo,3.0,14.0,10.0,2016,overtaker,949.0
36,10,Bahrain Grand Prix,ricciardo,3.0,14.0,9.0,2016,overtaker,949.0
37,11,Bahrain Grand Prix,vandoorne,10.0,45.0,14.0,2016,overtaker,949.0
38,12,Bahrain Grand Prix,verstappen,1.0,14.0,11.0,2016,overtaker,949.0
39,12,Bahrain Grand Prix,vandoorne,11.0,44.0,12.0,2016,overtaker,949.0
40,12,Bahrain Grand Prix,ricciardo,5.0,12.0,4.0,2016,overtaker,949.0
41,12,Bahrain Grand Prix,raikkonen,11.0,0.0,5.0,2016,overtaker,949.0
42,12,Bahrain Grand Prix,raikkonen,11.0,0.0,4.0,2016,overtaker,949.0
43,14,Bahrain Grand Prix,raikkonen,1.0,15.0,2.0,2016,overtaker,949.0
44,2,Chinese Grand Prix,vettel,1.0,2.0,7.0,2016,overtaker,950.0
45,2,Chinese Grand Prix,button,1.0,2.0,8.0,2016,overtaker,950.0
46,2,Chinese Grand Prix,verstappen,1.0,2.0,11.0,2016,overtaker,950.0
47,3,Chinese Grand Prix,bottas,2.0,1.0,9.0,2016,overtaker,950.0
48,4,Chinese Grand Prix,vettel,3.0,0.0,5.0,2016,overtaker,950.0
