year,name,Super Soft,Soft,Medium,Hard,Ultra Soft
2016,Australian Grand Prix,Super Soft,Soft,Medium,,
2016,Bahrain Grand Prix,Super Soft,Soft,Medium,,
2016,Chinese Grand Prix,Super Soft,Soft,Medium,,
2016,Russian Grand Prix,Super Soft,Soft,Medium,,
2016,Spanish Grand Prix,,Soft,Medium,Hard,
2016,Monaco Grand Prix,Super Soft,Soft,,,Ultra Soft
2016,Canadian Grand Prix,Super Soft,Soft,,,Ultra Soft
2016,Azerbaijan Grand Prix,Super Soft,Soft,Medium,,
2016,Austrian Grand Prix,Super Soft,Soft,,,Ultra Soft
2016,British Grand Prix,,Soft,Medium,Hard,
2016,Hungarian Grand Prix,Super Soft,Soft,Medium,,
2016,German Grand Prix,Super Soft,Soft,Medium,,
2016,Italian Grand Prix,Super Soft,Soft,Medium,,
2016,Belgian Grand Prix,Super Soft,Soft,Medium,,
2016,Singapore Grand Prix,Super Soft,Soft,,,Ultra Soft
2016,Malaysian Grand Prix,,Soft,Medium,Hard,
2016,Japanese Grand Prix,,Soft,Medium,Hard,
2016,United States Grand Prix,Super Soft,Soft,Medium,,
2016,Mexican Grand Prix,Super Soft,Soft,Medium,,
2016,Brazilian Grand Prix,,Soft,Medium,Hard,
2016,Abu Dhabi Grand Prix,Super Soft,Soft,,,Ultra Soft
2015,Australian Grand Prix,,Soft,Medium,,
2015,Malaysian Grand Prix,,,Medium,Hard,
2015,Chinese Grand Prix,,Soft,Medium,,
2015,Bahrain Grand Prix,,Soft,Medium,,
2015,Spanish Grand Prix,,,Medium,Hard,
2015,Monaco Grand Prix,Super Soft,Soft,,,
2015,Canadian Grand Prix,Super Soft,Soft,,,
2015,Austrian Grand Prix,Super Soft,Soft,,,
2015,British Grand Prix,,,Medium,Hard,
2015,Hungarian Grand Prix,,Soft,Medium,,
2015,Belgian Grand Prix,,Soft,Medium,,
2015,Italian Grand Prix,,Soft,Medium,,
2015,Singapore Grand Prix,Super Soft,Soft,,,
2015,Japanese Grand Prix,,,Medium,Hard,
2015,Russian Grand Prix,Super Soft,Soft,,,
2015,United States Grand Prix,,Soft,Medium,,
2015,Mexican Grand Prix,,Soft,Medium,,
2015,Brazilian Grand Prix,,Soft,Medium,,
2015,Abu Dhabi Grand Prix,Super Soft,Soft,,,
2017,Australian Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Chinese Grand Prix,Super Soft,Soft,Medium,,
2017,Bahrain Grand Prix,Super Soft,Soft,Medium,,
2017,Russian Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Spanish Grand Prix,,Soft,Medium,Hard,
2017,Monaco Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Canadian Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Azerbaijan Grand Prix,Super Soft,Soft,Medium,,
2017,Austrian Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,British Grand Prix,Super Soft,Soft,Medium,,
2017,Hungarian Grand Prix,Super Soft,Soft,Medium,,
2017,Belgian Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Italian Grand Prix,Super Soft,Soft,Medium,,
2017,Singapore Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Malaysian Grand Prix,Super Soft,Soft,Medium,,
2017,Japanese Grand Prix,Super Soft,Soft,Medium,,
2017,United States Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Mexican Grand Prix,Super Soft,Soft,,,Ultra Soft
2017,Brazilian Grand Prix,Super Soft,Soft,Medium,,
2017,Abu Dhabi Grand Prix,Super Soft,Soft,,,Ultra Soft
